wallet,credit_score
0x00432beb667c8908a74f35fef62882b502347e61,616.38
0x00433d27687ff685d3871395d7fedfd42b1c3529,751.32
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,719.43
0x004403abb2246c48ac770e30e7b36e3b16e152a1,729.03
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,619.82
0x0044803a27c6c45babd3fb7affb80b3f913579d7,798.36
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,540.98
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,713.14
0x004624a132094f106e977c369c8f2e1ebffb2ae1,601.63
0x0046d10482bc3ae87fa4cb550e36706addf2304a,601.64
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,671.3
0x00481898361901f3e49bfe3e40872d09e93c2c11,719.06
0x0048e6fd005224e7e9f00058c630307f0710a84b,597.94
0x0049436d8c3da52d604cdc390e45026b2662d7f7,619.45
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,742.76
0x004965f85a3db4d5221189595141ecab247b115d,666.78
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,660.44
0x0049f39431ab794a381deca90fa7ab85e60e6ebb,657.07
0x004a61f49faeab28ac5cc72ed26a7114d134362e,601.52
0x004af1171e5783d1223056a700e992b0eccf6191,669.45
0x004afb002e3fb33c833fc16b6b63103bbf97312d,448.5
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,350.75
0x004c572659319871be9d4ab337fb3df6237979d7,600.24
0x004c5993adfd45da327f82ec7581a6ee736bf4cb,660.71
0x004c788aecdcc8ae214519737576d67da3c7334a,601.62
0x004ce54398cc569a622bf5a99ae857306243c8ec,565.53
0x004d71c111862702272e6beccdaafb07c9b96c37,703.08
0x004f137c71b3003c7915bd6aa3a4f57e334a738e,637.38
0x004f9b61222bcb6214b7dcd87ebafa0ac2c74440,601.63
0x0051337e53823325b9df640f8bac7c7a7dcc4b19,601.64
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,794.99
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,632.3
0x0051ed91501bdefede70975ec9459a0dd3c5657b,406.7
0x00520ddda78809f725ba3ac696fc8dbe9ccaef91,667.71
0x00526e91ec022d8596bda04092071c1da6b5322e,664.81
0x0052c9f2cc95f743412d6daaf3c93bcd1793479d,443.14
0x0052d655d117dae79d897213af1d4393ab32c739,601.64
0x005399ba80babd299512e9efb4e0e764f673405c,600.2
0x0053b5daa6d4c2e3d16f2b9c10dc04e92b14a818,548.51
0x00548bf85d26850ad7ad55ca90ba02572349f648,395.42
0x0054b73e9add0a26ca2a81635c6ec0a0eb75b77f,656.93
0x00552481817c28f473f4cc61538db6536015d906,608.06
0x00553b963de06016c68681c9bee10a79c51c5d8a,684.79
0x005547e9fa569b6835204402138146861e901b06,661.26
0x00560340190b7e9a1027fb5e72858a8298588303,608.83
0x00561a0d394a2cad87c811615f72b61cb0ed3faa,708.31
0x0056323f02bb16de8025a79ab09e1dd5c8114602,600.0
0x005661a7a441451fafdccd579905a7dbc79fd538,418.7
0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,691.52
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,523.05
0x005711ac01b67981d6b627c09470cce29dbd3353,639.05
0x0057abf4b6b95cd42cb8c197e78b934d45679432,607.19
0x0057aef39caf4085bf3f91661eb2e6e6f513244f,607.06
0x0057b22d4385adfbc48a6581b141e04acdaf7768,639.82
0x0057bd83a142da84b6404616c683e21e7dd6fa5f,367.91
0x0057bf0e2082921a880500ab18e716c46c54216e,601.62
0x0057dbd2cb881113aa7b55e4ce62af8234519e01,690.44
0x00581eb036db4a48fbaa59ec7745e316bbd1cc76,600.0
0x0058873fc9eeb9906ae1135de4f84a9ef1bfba62,600.03
0x0059221c8444995878e9a82b0b2d732fb3da913e,652.56
0x005a61772557bef9a3e65a7b87eaccce34f2700e,611.41
0x005a75e089206f1c5b788a16a5dd54cbf6dd5b9a,679.05
0x005a945c426fe1f2eb3c4b04585a2427f7a032a8,485.9
0x005ab5979532d34dc60a4582597464df0b5a7c87,739.04
0x005ab79a1b5982604cdc066565499d90c550e001,600.0
0x005ae07a1782019253917d76334a0579ac3a9b64,798.01
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,715.81
0x005b35993837ffbc6ebfa08d2e4ac40fdb0a63d1,396.01
0x005b5489aad85ecf95142ba14f97bba3b5d13a1a,660.95
0x005b8864b832d250e97996febb2b6a10b4562fd1,583.81
0x005bf9036a459545ec86252db2a37667a5823b94,703.31
0x005c7aa4001747cd4bf25c777318a13191a182ac,794.02
0x005ce2b15bd5fa54f2a7667405d8d45a765088cf,632.81
0x005ce3720edd52ef800ed68bfe29114a7d86e623,536.89
0x005ceac16427ed612040519f078d08570eaf7688,652.08
0x005d25ac8fe00ec22e8b0f34d7a5f8e00217fcd0,607.98
0x005d9ffbbd210f6b04d7f0880f5c49130d38ff0d,558.46
0x005de910a2a04e1efe9eb4c3e2aca7744ab15ed7,600.03
0x005df03951fac36e8cc39b7d03eadf00829815b4,672.1
0x005e105ad9c1a60512e6bb98fdaa1183bd341f18,611.44
0x005e5cac6eb7637edf689403e01b86bda451ef61,614.81
0x005eba6d8c2af1e7058d7c22e23999188fd15339,679.05
0x005ec23381d0b33407fcdedd2df7facd769304cd,657.03
0x005f16f017aa933bb41965b52848ceb8ee48b171,585.49
0x005f4ed154aec7b147190c97d3f2535fc8360b12,498.85
0x005f73c6a7233e4e6bdb5041d021fa36b6716b2f,661.74
0x005fe33f474dd52d8308b470c2503fd6ffabe31a,657.01
0x005fe34dfd8c3b7994d608a374cedcc44b73e0bd,418.63
0x006002bafd83794a35b3d63fb00bfce00f4557ed,600.04
0x0060f329ae466559db2e692b24252a5163bf16c3,601.84
0x006106679868ffbeb8bef8788be4d59571a13053,601.63
0x00626b79d2972dfd10463e1871f8edcf8aae5bb3,705.99
0x0062cb1c249a8579e155794dc86960e4f88af402,739.99
0x006366325c813728f871c16a7703b818ee1ac6f1,723.3
0x0063d9477fd76b7c9732917b3b884d918607a804,420.07
0x00645acbda7635b02a8b517d49ef6cbd028962e3,601.63
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,502.2
0x0064f7e15fdf96a5225d4cc07b38eef45c8bdc46,639.83
0x006501f106d155981aac18b4d31a6e14d1e55fae,372.76
0x00651f6724f748af9315f720d67ef9ecc3139bdf,657.07
0x0065245cb87fda9fc42e7ca9962a13da9a52345d,655.9
0x006551b8f041761e2e47bb4792b21e67786b3452,338.96
0x0065fb0daffbc3025516415183fa808b2b40b3fb,607.9
0x0066023b24edd70b7def47effbf2fd7617f9c66b,700.47
0x0066245819d5d387ac2209620741e721ccada64d,656.65
0x00668293095ef3ba3a62d566e2ac83fb81aec94f,384.83
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,677.89
0x0066a75495069b7d760177aa2607a140b13aa520,685.07
0x0067243a8b83385457c53923a6cd0bc019b090e8,601.57
0x00677d8b6fda25b199539633a8cd07074c855cb7,632.98
0x0067eec7ad35e72613d760e917890d1b7e876e4e,679.14
0x006850972a3144f2bcb0d37fbd7f84b26765d458,600.0
0x00694ba9219891081e07b31ebaf19abfd97e1acb,293.48
0x00695c7fcd8ee1517adb85c24547fc792613a5c5,607.96
0x0069d013b71c2d000fca70549d894e49b8e4e031,652.27
0x006a310554681273826624361a3177cd9f3aad1d,668.5
0x006acbf79f7c4580fa01ffa48085d832592f1b63,737.57
0x006b64b48437695a2c0b470e22de9b8d3b866f52,601.64
0x006b855e1ce71d0163e41c17fac02fcdedf0ef21,748.32
0x006bcd94f74784887705d74884308172343855ee,661.04
0x006d0cf97d1aef07271dcce6d0bd60e8d98966ec,390.52
0x006d0f31a00e1f9c017ab039e9d0ba699433a28c,470.81
0x006d1df30df75bfa607f41b3a4d67d4be51fe910,732.42
0x006dfe647e57d2cdaf47000731659c1f92ece423,601.64
0x006f030ecb2daa44fc1dede06a94e749bf3918cf,708.96
0x006f1973f3a2911fc15569d7787f51fb114db606,717.1
0x006f26845ed58e4503a0dd61c69708e3cc028cc5,382.1
0x006f74448baead5563915255c8fbc12fd7f6a5df,695.93
0x006fda5407be210b6d8d653b04859a748e84e64a,604.74
0x00702c8e7a704dbb88efdf09e532447530ab6d0a,695.4
0x00705d931184135830185bb284fb8ed277693d0d,689.06
0x007078c8001b515b14000cc78306072a5dfd55b3,719.21
0x00707aa2eeff1ddb8b22bd1539f92818c9cb8a85,752.86
0x0070bc9033adf1e49517f98304f41f778d370208,788.74
0x0072b1fa7a78e6e2df568563fb551ad2fb8c01bc,403.87
0x0072b9af9a7dc5a42091f01d3d22bcf298d398fd,533.6
0x0073245e2bf4f38400634d4ba7527bbd34bfc6ba,623.92
0x0073894fff63595d6cca3802aad6b9ecf5491ca6,619.8
0x0073943c869d55da3b7c8ab40ee3c2a68b65fb33,705.78
0x00752654dcd85f8e42e207ccf48212388fd7173d,601.63
0x00752fceceba64c2f5a18f3ad5f3fd8938b96a4f,605.66
0x0076b2f8ead986bb6de67735313891c0876f4388,375.34
0x0076bc177845e513018cda51be5e5f80f44aeb50,606.97
0x0076fcc7d245f6c7aaf07238adfb48adc62bdd55,733.84
0x00778698bbc902543b596af6e7c0aa13b614162d,719.59
0x007821abbcc2da83df7fdf57520741d6ea1042f2,601.64
0x007849ce924f0a3ed1baccbff2742a3d1cdc7ac0,443.47
0x0078c86e12186e2de1ff6fef5f1ada2bffde4ea5,731.08
0x0078dc11a5b751eb0e94d6c97cae29acf6e8579d,731.69
0x0079228fa4e08e800883021b18ff0bc7937b3aef,666.45
0x00795ff7870798a332a99c3969406286259dce8f,564.62
0x0079bf6868cb1b7cf4a451311fd70c348f3ed38b,602.4
0x0079e0ce802e67adba53ac0e7927f45f6304ae6f,418.63
0x007b003c4d0145b512286494d5ae123aeef29d9e,774.59
0x007b212ac048a425d2019d14e7be4aeae3faf8e9,625.02
0x007c426ab1b726e3be68b37ac0ffa8aed94447bc,656.61
0x007c4bb067d9b6afeb4c13415477d396123c4aa3,832.02
0x007ce1895ca7a000e37a524399920ad7dae41f43,669.85
0x007d418f61454569a051b5a9d11112996a986bb1,601.64
0x007d42732fee6a2a8de421a06dcc02daf93e2b2f,604.99
0x007dc697bbc1bdfb0988db00ebb3d17d52fdda3d,734.96
